  Maharashtra Nurses Act, 1966: 1

  Maharashtra Private Forests Acquisition Act, 1975: 1

  Maharashtra Protection of Interest of Depositors in Financial Establishments Act, 1999: 1

  Maharashtra Slum Improvement Board Act, 1973: 1

  Maharashtra Tax Laws Levy, Amendment and Validation Act, 1997: 1

  Maharashtra Tax on Entry of Motor Vehicles into Local Areas Act, 1987: 1

  Maharashtra University of Health Sciences Act, 1998: 1

  Maharashtra Vacant Lands Prohibition of Unauthorised Occupation and Summary Eviction Act, 1975: 1

  Malabar Compensation for Tenants Improvements Act, 1899: 1

  Malabar Land Registration Act, 1895: 1

  Manipur Panchayati Raj Act, 1994: 1

  Marine Products Export Development Authority Act, 1972: 1

  Marine Products Export Development Authority Act, 1972: 1

  Maruti Limited Acquisition and Transfer of Undertakings Act, 1980: 1

  Maulana Azad National Urdu University Act, 1996: 1

  Merged States Laws Act, 1949: 1

  Merged States Laws Act, 1949: 1

  Micro, Small and Medium Enterprises Development Act, 2006: 1

  Micro, Small and Medium Enterprises Development Act, 2006: 1

  Mines and Minerals Regulation and Development Amendment Act, 1958: 1

  MultiState Cooperative Societies Act, 1984: 1

  Multimodal Transportation of Goods Act, 1993: 1

  Muslim Personal Law Shariat Application Act, 1937: 1

  Mussalman Wakf Act, 1923: 1

  Mysore Personal and Miscellaneous Inams Abolition Act, 1954: 1

  Mysore Religious and Charitable Inams Abolition Karnataka Amendment Act, 1984: 1

  Mysore High Court Act, 1884: 1

  Mysore Lotteries and Prize Competitions Control and Tax Act, 1951: 1

  Mysore Race Courses Licensing Act, 1952: 1

  Mysore Religious and Charitable Institutions Act, 1927: 1

  Mysore Religious and Charitable Institutions Act, 1927: 1

  Mysore Usurious Loans Act, 1923: 1

  Naga HillsTuensang Area Act, 1957: 1

  Narcotic Drugs and Psychotropic Substances Amendment Act, 2001: 1

  Nathdwara Temple Act, 1959: 1

  National Bank for Agriculture and Rural Development Act, 1981: 1

  National Cadet Corps Act, 1948: 1

  National Capital Territory of Delhi Laws Special Provisions Second Act, 2011: 1

  National Commission for Minority Educational Institutions Act, 2004: 1

  National Commission for Minority Educational Institutions Act, 2004: 1

  National Commission for Women Act, 1990: 1

  National Environment Appellate Authority Act, 1997: 1

  National Environment Tribunal Act, 1995: 1

  National Highways Act, 1956: 1

  National Highways Laws Amendment Act, 1997: 1

  National Security Amendment Act, 1985: 1

  National Security Amendment Act, 1988: 1

  National Tax Tribunal Act, 2005: 1

  North Bengal University Act, 1981: 1

  Northern India Canal and Drainage Act, 1873: 1

  Northern India Ferries Act, 1878: 1

  Oil and Natural Gas Commission Transfer of Undertaking and Repeal Act, 1993: 1

  Oilfields Regulation and Development Act, 1948: 1

  Opium and Revenue Laws Extension of Application Amendment Act, 1951: 1

  Oriental Gas Company Act, 1960: 1

  Oriental Gas Company Act, 1960: 1

  Orissa Electricity Duty Act, 1961: 1

  Orissa Entry Tax Act, 1999: 1

  Orissa Government Land Settlement Act, 1962: 1

  Orissa MoneyLenders Act, 1939: 1

  Orissa MoneyLenders Act, 1939: 1

  Orissa Prevention of Land Encroachment Act, 1972: 1

  Orissa Sales Tax Amendment Act, 1979: 1

  Orissa Universities Act, 1989: 1

  Orissa Universities Act, 1989: 1

  Orissa Value Added Tax Act, 2004: 1

  Parliamentary Proceedings Protection of Publication Act, 1956: 1

  Part C States Miscellaneous Laws Repealing Act, 1951: 1

  Part C States Miscellaneous Laws Repealing Act, 1951: 1

  Passport Entry into India Act, 1920: 1

  Payment and Settlement Systems Act, 2007: 1

  Payment of Gratuity Amendment Act, 1998: 1

  Payment of Wages Amendment Act, 1957: 1

  Petroleum Pipelines Acquisition of Right of User in Land Amendment Act, 1977: 1

  Petroleum and Natural Gas Regulatory Board Act, 2006: 1

  Petroleum and Natural Gas Regulatory Board Act, 2006: 1

  Places of Worship Special Provisions Act, 1991: 1

  Police Incitement to Disaffection Act, 1922: 1

  Police Act, 1888: 1

  Police Forces Restriction of Rights Act, 1966: 1

  Pondicherry Alteration of Name Act, 2006: 1

  Presidencytowns Insolvency Act, 1909: 1

  Presidential and VicePresidential Elections Amendment Act, 1977: 1

  Presidential and VicePresidential Elections Act, 1952: 1

  Prevention of Insults to National Honour Act, 1971: 1

  Prevention of Terrorism Amendment Act, 2003: 1

  Prisoners Attendance in Courts Act, 1955: 1

  Private Security Agencies Regulation Act, 2005: 1

  Prize Competitions Act, 1955: 1

  Produce Cess Act, 1966: 1

  Profession Tax Validation and Reassessment Act, 1958: 1

  Prohibition of Child Marriage Act, 2006: 1

  Prohibition of Employment as Manual Scavengers and their Rehabilitation Act, 2013: 1

  Protection of Human Rights Amendment Act, 2006: 1

  Provisions of the Panchayats Extension to the Scheduled Areas Act, 1996: 1

  Public Debt Act, 1944: 1

  Public Premises Eviction of Unauthorised Occupants Amendment Act, 1980: 1

  Punjab Agricultural University Act, 1961: 1

  Punjab Ayurvedic and Unani Practitioners Act, 1963: 1

  Punjab Cattle Fairs Regulation Act, 1967: 1

  Punjab Cinemas Regulation Act, 1952: 1

  Punjab Cooperative Agricultural Development Banks Act, 1957: 1

  Punjab Dairy Development Board Act, 2000: 1

  Punjab Development of Damaged Areas Act, 1951: 1

  Punjab Disturbed Areas Act, 1983: 1

  Punjab Electricity Duty Act, 1958: 1

  Punjab Electricity Duty Act, 1958: 1

  Punjab Entertainment Duty Act, 1955: 1

  Punjab Good Conduct Prisoners Temporary Release Act, 1962: 1

  Punjab Habitual Offenders Control and Reform Act, 1952: 1

  Punjab Land Reforms Act, 1972: 1

  Punjab Laws Act, 1872: 1

  Punjab Local Authorities Aided Schools Act, 1959: 1

  Punjab Lokpal Act, 1996: 1

  Punjab Lokpal Act, 1996: 1

  Punjab Municipal Corporation Law Extension to Chandigarh Act, 1994: 1

  Punjab Occupancy Tenants Vesting of Proprietary Rights Act, 1952: 1

  Punjab Package Deal Properties Disposal Act, 1976: 1

  Punjab Passengers and Goods Taxation Act, 1952: 1

  Punjab Rent Act, 1995: 1

  Punjab Restitution of Mortgaged Lands Act, 1938: 1

  Punjab Restitution of Mortgaged Lands Act, 1938: 1

  Punjab Resumption of Jagirs Act, 1957: 1

  Punjab Resumption of Jagirs Act, 1957: 1

  Punjab Scheduled Roads and Controlled Areas Restriction of Unregulated Development Act, 1963: 1

  Punjab Shops and Commercial Establishments Act, 1958: 1

  Punjab Slum Areas Improvement and Clearance Act, 1961: 1

  Punjab State Legislature Prevention of Disqualification Act, 1952: 1

  Punjab State Tubewell Act, 1954: 1

  Punjab University Act, 1947: 1

  Punjab Urban Rent Restriction Act, 1941: 1

  Punjab Value Added Tax Act, 2005: 1

  Railway Companies Emergency Provisions Act, 1951: 1

  Railway Companies Emergency Provisions Act, 1951: 1

  Railway Protection Force Act, 1957: 1

  Railway Protection Force Act, 1957: 1

  Railways Local Authorities Taxation Act, 1941: 1

  Rajasthan Cash Jagirs Abolition Act, 1958: 1

  Rajasthan Home Guards Act, 1963: 1

